//++++++++++++++++++++++++++++++++++++++++++++
// XANTHIUM 1.2 Timecyc.dat
// Config Modifications - XAct'z Lynx
//++++++++++++++++++++++++++++++++++++++++++++
// Generated using In-game Timecyc Editor 1.8 written by fastman92
// Visit fastman92-site.tk

//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
28 30 23	255 255 255	255 255 255	0 0 0	13 9 14	255 135 6	255 0 0	1 1 0.6 192 100 0 1600 400 1.2	0 0 0	15 15 15	38 38 55 240	127 0 8 51	127 51 51 51	180 80 0 0
//5AM
44 44 44	208 208 208	255 255 255	7 8 11	11 11 15	255 0 0	158 144 69	0 0.8 0.7 192 100 0 1600 400 1.5	0 0 0	20 23 27	53 62 68 240	15 0 8 51	15 51 51 51	250 80 0 0
//6AM
22 22 28	255 255 255	255 255 255	47 46 69	72 67 41	102 17 0	70 61 42	6 0.6 0.6 255 100 0 1600 400 1.4	0 0 0	103 78 61	144 187 255 240	50 53 30 19	50 51 51 51	255 60 0 0
//7AM
42 42 42	199 199 199	255 255 255	44 75 108	157 120 87	255 0 0	145 139 112	3 1 0.5 255 50 75 1600 400 0.3	0 0 0	204 241 255	142 173 180 240	40 78 51 39	40 39 64 78	225 80 0 1
//Midday
10 10 10	255 255 255	255 255 255	29 82 140	84 123 135	255 255 0	66 64 41	1.5 1 0.5 255 0 0 1600 40 1.6	0 0 0	191 191 191	91 173 182 240	75 129 85 70	75 102 116 129	255 128 0 1
//7PM
41 41 41	255 255 255	255 255 255	25 76 154	113 114 59	255 150 13	63 68 36	3.5 1 0.6 255 50 75 1600 40 0.3	0 0 0	211 242 255	127 161 170 240	35 128 82 82	35 114 128 128	225 80 0 1
//8PM
52 52 52	255 255 255	255 255 255	67 89 114	179 117 52	255 150 13	179 179 179	1.5 1 0.3 220 50 75 1600 40 0.5	0 0 0	77 64 54	179 163 152 240	20 53 15 15	20 53 37 21	255 45 0 0
//10PM
40 40 40	254 254 254	255 255 255	14 16 45	36 47 76	255 150 13	179 179 179	1.5 1 0.3 220 50 75 1600 40 0.5	0 0 0	77 60 42	180 120 88 240	20 53 30 9	20 53 15 15	255 45 0 0
//
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
20 21 16	255 255 255	255 255 255	0 0 0	0 0 0	255 135 6	255 0 0	1 1 0.6 192 100 0 1600 400 1.2	0 0 0	15 15 15	38 38 55 240	127 0 8 51	127 51 51 51	180 80 0 0
//5AM
